rank,title,certificate,genre,rate,director,runtime,vote
1,The King's Man,R,Action,6.4,Matthew Vaughn,131,88927
2,West Side Story,PG-13,Crime,7.5,Steven Spielberg,156,45667
3,Free Guy,PG-13,Action,7.2,Shawn Levy,115,301727
4,Spider-Man: No Way Home,PG-13,Action,8.7,Jon Watts,148,493728
5,Licorice Pizza,R,Comedy,7.5,Paul Thomas Anderson,133,51426
6,The Power of the Dog,R,Drama,6.9,Jane Campion,126,126775
7,Encanto,PG,Animation,7.3,Jared Bush,102,160430
8,The French Dispatch,R,Comedy,7.2,Wes Anderson,107,90375
9,Nightmare Alley,R,Crime,7.1,Guillermo del Toro,150,77475
10,CODA,PG-13,Comedy,8,Sian Heder,111,59775
11,House of Gucci,R,Crime,6.7,Ridley Scott,158,85521
12,Belfast,PG-13,Biography,7.3,Kenneth Branagh,98,39118
13,Don't Look Up,R,Comedy,7.2,Adam McKay,138,456202
14,Dune,PG-13,Action,8.1,Denis Villeneuve,155,506296
15,Eternals,PG-13,Action,6.4,Chlo? Zhao,156,270144
16,Sing 2,PG,Animation,7.5,Garth Jennings,110,37433
17,Ghostbusters: Afterlife,PG-13,Adventure,7.2,Jason Reitman,124,127931
18,Drive My Car,Unrated,Drama,7.7,Ry?suke Hamaguchi,179,19569
19,Cyrano,PG-13,Drama,6.3,Joe Wright,123,4845
20,The Worst Person in the World,R,Comedy,7.9,Joachim Trier,128,24949
21,No Time to Die,PG-13,Action,7.3,Cary Joji Fukunaga,163,324446
22,The Desperate Hour,PG-13,Thriller,4.5,Phillip Noyce,84,1623
23,The Last Duel,R,Action,7.4,Ridley Scott,152,126162
24,The Suicide Squad,R,Action,7.2,James Gunn,132,311655
25,"tick, tick...BOOM!",PG-13,Biography,7.5,Lin-Manuel Miranda,115,82659
26,King Richard,PG-13,Biography,7.5,Reinaldo Marcus Green,144,59458
27,The Lost Daughter,R,Drama,6.7,Maggie Gyllenhaal,121,47175
28,Spencer,R,Biography,6.7,Pablo Larra?n,117,46090
29,After Yang,PG,Drama,6.7,Kogonada,96,2706
30,The Matrix Resurrections,R,Action,5.7,Lana Wachowski,148,204321
31,Old,PG-13,Drama,5.8,M. Night Shyamalan,108,87486
32,Nobody,R,Action,7.4,Ilya Naishuller,92,210946
33,Last Night in Soho,R,Drama,7.1,Edgar Wright,116,92493
34,The Eyes of Tammy Faye,PG-13,Biography,6.7,Michael Showalter,126,15567
35,Shang-Chi and the Legend of the Ten Rings,PG-13,Action,7.5,Destin Daniel Cretton,132,332181
36,Venom: Let There Be Carnage,PG-13,Action,6,Andy Serkis,97,180713
37,Antlers,R,Drama,5.9,Scott Cooper,99,28451
38,The Prot?g?,R,Action,6.1,Martin Campbell,109,25081
39,Zack Snyder's Justice League,R,Action,8.1,Zack Snyder,242,363750
40,F9: The Fast Saga,PG-13,Action,5.2,Justin Lin,143,115950
41,Being the Ricardos,R,Biography,6.6,Aaron Sorkin,131,32931
42,The Tragedy of Macbeth,R,Drama,7.2,Joel Coen,105,25276
43,Red Notice,PG-13,Action,6.4,Rawson Marshall Thurber,118,241436
44,American Underdog,PG,Biography,7.2,Andrew Erwin,112,7645
45,Parallel Mothers,R,Drama,7.1,Pedro Almod?var,123,16537
46,The Fallout,R,Drama,7,Megan Park,96,9939
47,Benedetta,Unrated,Biography,6.8,Paul Verhoeven,131,12925
48,The Cursed,R,Fantasy,6.4,Sean Ellis,111,1925
49,Munich: The Edge of War,PG-13,Biography,6.9,Christian Schwochow,130,23124
50,Resident Evil: Welcome to Raccoon City,R,Action,5.2,Johannes Roberts,107,38352
51,The Many Saints of Newark,R,Crime,6.3,Alan Taylor,120,45689
52,Red Rocket,R,Comedy,7.2,Sean Baker,130,12152
53,I Am Mortal,Unrated,Sci-Fi,3.1,Tony Aloupis,83,307
54,Titane,R,Drama,6.6,Julia Ducournau,108,34065
55,Black Widow,PG-13,Action,6.7,Cate Shortland,134,340104
56,The Voyeurs,R,Drama,6,Michael Mohan,116,16604
57,Pleasure,Unrated,Drama,6.3,Ninja Thyberg,109,6974
58,The Green Knight,R,Adventure,6.6,David Lowery,130,84067
59,Wrath of Man,R,Action,7.1,Guy Ritchie,119,152920
60,Cruella,PG-13,Adventure,7.4,Craig Gillespie,134,213640
61,Jujutsu Kaisen 0: The Movie,PG-13,Animation,8.9,Seong-Hu Park,105,1500
62,Escape Room: Tournament of Champions,PG-13,Action,5.7,Adam Robitel,88,36084
63,The Unforgivable,R,Crime,7.2,Nora Fingscheidt,112,97007
64,The Misfits,R,Action,4.3,Renny Harlin,94,8997
65,Hellbender,Unrated,Horror,6,John Adams,86,1337
66,Hitman's Wife's Bodyguard,R,Action,6.1,Patrick Hughes,100,77701
67,Old Henry,Unrated,Thriller,7.3,Potsy Ponciroli,99,18108
68,Don't Kill Me,TV-MA,Fantasy,4.2,Andrea De Sica,90,1289
69,Malignant,R,Crime,6.3,James Wan,111,76907
70,The Burning Sea,PG-13,Action,6.3,John Andreas Andersen,104,1690
71,Pig,R,Drama,7,Michael Sarnoski,92,57947
72,Raya and the Last Dragon,PG,Animation,7.3,Don Hall,107,137036
73,Jungle Cruise,PG-13,Action,6.6,Jaume Collet-Serra,127,171195
74,The Tender Bar,R,Drama,6.7,George Clooney,106,21861
75,The Hand of God,R,Drama,7.4,Paolo Sorrentino,130,32553
76,Army of Thieves,TV-MA,Action,6.4,Matthias Schweigh?fer,127,67244
77,Asking for It,R,Thriller,2.8,Eamon O'Rourke,97,344
78,The Hating Game,R,Comedy,6.3,Peter Hutchings,102,8781
